enhancer	status	AP	DV	A	C	P	Ectoderm	Endoderm	Mesoderm	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
Kvon2014_chr3R_17968311_17970547	on	P	Mesoderm	off	off	on	off	off	on	76.1	2.82	0	-0.027	-0.0885	0	-0.0885	0	0.669190671	0	0	0	0	0	0	0	0	2.274286181	2.65984698	0	0	58.1212
Kvon2014_chr3R_17970065_17972204	on	C	Ectoderm	off	on	off	on	off	off	82.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.124027733	1.723004472	0	0	5.28782
Kvon2014_chr3R_17978799_17980887	on	P	Endoderm	off	off	on	off	on	off	2388.4	11.92	4.72	1.162	0.145	1.21	0.145	9.6	6	520	363	2.9693288803	2.1504812241	3.0148272514	1.9966592789	2.7166767121	1.943185806	4.686258048	8.223568797	0	1	125.261
Kvon2014_chr3R_17980445_17982647	on	A	Ectoderm	on	off	off	on	off	off	264.9	0	0	0	-0.1315	0	-0.1315	3.6	0	0	363	0	0	0	0	0	0	4.686258048	6.280382991	0	1	0
Kvon2014_chr3R_18352267_18354359	on	A	Ectoderm	on	off	off	on	off	off	699.1	4.98	0	0	0	0	0	6	1.601070927	646	376	0	0	0	0	2.3338050842	0.698196856	3.549703717	5.977888939	107.225	1	17.238
Kvon2014_chr3R_18703162_18705280	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	177.9	9.85	0	0	0	0	0	11.3	5.409590558	0	0	0	2.1621332169	1.8426651955	0	5.4964523316	0.865585103	3.823968332	5.221756364	0	0	0
Kvon2014_chr3R_19019321_19021522	on	A	Endoderm	on	off	off	off	on	off	2439.9	20.67	4.29	1.101	2.3565	1.84	2.3565	12	6	0	359	4.3281931877	3.3458242416	4.800488472	6.8141613007	2.6911211014	6.255821733	7.275964489	15.843840647	135.955	0	171.0741
Kvon2014_chr3R_19020878_19022997	on	A	Ectoderm/Endoderm	on	off	off	on	on	off	641.9	10.48	4.29	1.101	2.3565	1.624	2.3565	6	0.357772972	0	0	3.5673484802	1.7290315628	2.2398104668	4.3562870026	0	2.113407521	2.597067048	7.022528994	135.955	0	25.3201
Kvon2014_chr3R_19167877_19170074	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	747.1	13.31	4.18	0	1.2015	0	1.2015	6	6	0	254	0	0	0	2.112958908	2.4174757004	1.045435401	5.571828337	8.751655747	0	1	627.6959
Kvon2014_chr3R_19169758_19171858	on	A	Ectoderm	on	off	off	on	off	off	1360.9	25.2	4.18	0.409	2.677	1.119	2.677	12	6.837489361	0	254	1.6059675217	1.877117157	0	4.6019434928	3.507768631	1.666225942	5.571828337	9.372446288	118.765	2	73.7076
Kvon2014_chr3R_20346869_20348344	on	P	Ectoderm	off	off	on	on	off	off	143.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.473567843	0	0	0
Kvon2014_chr3R_20574703_20575504	on	ACP	Ectoderm	on	on	on	on	off	off	3189.3	20.28	4.01	1.353	0.6735	1.462	0.6735	6	6	0	296	3.8299741745	3.8471984863	3.1984329224	2.1908082962	2.9537725449	3.589410305	2.301567358	8.592790014	0	1	84.8227
Kvon2014_chr3R_20995463_20996763	on	A	Endoderm	on	off	off	off	on	off	0	17.63	0	2.077	0	0.689	0	0	0	621	355	3.4351992607	0	3.5316939354	0	0	1.218554272	5.493568869	8.989743597	0	1	0
Kvon2014_chr3R_20997630_20999927	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	5188.7	17.63	5.14	2.077	1.3345	2.729	1.3345	6.83	6	621	355	3.4351992607	3.6221280098	3.5316939354	3.4843473434	3.0008234978	1.218554272	5.493568869	8.989743597	265.97	1	362.1114
Kvon2014_chr3R_21004815_21006912	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	1662.4	13.25	0	-0.187	0.3135	0.949	0.3135	5.52	1.518156229	755	392	1.1680340767	0	0	0	4.2983083725	0.66545698	4.517587662	8.347537567	0	1	166.1951
Kvon2014_chr3R_21006495_21008695	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	2185.8	13.25	0	0.2	0.3135	0.949	0.3135	11.52	6	755	392	2.6105871201	2.0051651001	2.9403276443	2.4518003464	4.2983083725	0.66545698	4.517587662	8.347537567	0	1	275.7104
Kvon2014_chr3R_21019469_21021322	on	ACP	Ectoderm	on	on	on	on	off	off	1602.9	21.52	5.32	0	0	0	0	4.68	5	0	0	2.5189933777	3.0720643997	2.896648407	3.651881218	3.87114048	0.751993881	3.410120235	5.863198533	216.75057	0	64.9375
Kvon2014_chr3R_21282570_21284690	on	A	Mesoderm	on	off	off	off	off	on	0	0	0	0	0	0	0	6.57	5.698970004	0	0	0	0	0	0	2.5102443695	0.602899339	4.84040764	6.23049535	0	0	0
Kvon2014_chr3R_21294756_21297030	on	A	Mesoderm	on	off	off	off	off	on	252.3	4.57	0	0	0	0	0	6	0	0	0	0	0	0	0	0.7939357758	0.637844338	2.634814487	6.699904404	0	0	0
Kvon2014_chr3R_21456236_21458310	on	A	Endoderm	on	off	off	off	on	off	437.6	15.72	4.62	2.925	1.7905	1.739	1.7905	5	5.522878745	721	334	3.4624123573	1.7893042564	2.6402568817	4.1356086731	2.396306038	1.256815658	4.259768874	7.503804735	0	0	82.8019
Kvon2014_chr3R_21457870_21460045	on	A	Ectoderm/Endoderm/Mesoderm	on	off	off	on	on	on	1146.5	9.9	4.62	1.479	1.7905	1.123	1.7905	6	3.694648631	721	334	3.4624123573	1.7893042564	2.6402568817	4.1356086731	2.396306038	1.994579587	4.259768874	8.241568664	0	0	67.388
Kvon2014_chr3R_21471304_21473433	on	A	Ectoderm	on	off	off	on	off	off	1160.8	8.96	0	0	1.892	0	1.892	5.52	1.488343868	649	435	1.0539188385	1.7782936096	0	5.4619441032	2.6543684006	0	1.85569547	3.577824955	330.385	0	98.5965
Kvon2014_chr3R_21852100_21854692	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	148.7	6.21	2.94	0.722	0	0	0	6	5.397940009	0	309	0	0	2.0954093933	2.0383663177	1.7648811341	3.516441316	4.502712138	11.228452691	209.86	2	267.0116
Kvon2014_chr3R_24398429_24400616	on	A	Endoderm	on	off	off	off	on	off	272.3	2.95	0	0.006	0.1585	1.047	0.1585	6	3.341988603	0	0	2.194820404	0	0	0	0	0	3.808619912	4.914538987	0	0	86.7188
Kvon2014_chr3R_24412727_24414867	on	P	Endoderm	off	off	on	off	on	off	390.2	37.78	7.7	1.121	0	0	0	0	2.863279433	0	281	0	3.2108402252	2.219979763	0	6.2340714932	1.000677019	6.619741675	10.405569341	122.4	0	67.5782
Kvon2014_chr3R_24414156_24416299	on	P	Endoderm	off	off	on	off	on	off	390.2	16.94	4.02	1.121	0	0	0	0	2.863279433	0	0	0	3.2108402252	0	0	3.1165549755	0	2.990965899	5.776116546	122.4	0	67.5782
Kvon2014_chr3R_2488662_2490888	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	1160.7	0	0	1.027	-0.5085	0.979	-0.5085	6	4.420216403	0	0	2.8528375626	0	2.0711603165	0	2.3322563172	0	3.005438412	4.51208886	0	0	104.547
Kvon2014_chr3R_25237305_25239500	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23663944	1.23663944	0	0	0
Kvon2014_chr3R_25491743_25493750	on	AC	Ectoderm	on	on	off	on	off	off	1328.3	3.77	0	0	0	0	0	1.12	0	0	242	0	0	0	0	0	0.577524735	0.870174289	2.189254298	0	0	0
Kvon2014_chr3R_25594900_25596969	on	CP	Ectoderm	off	on	on	on	off	off	1037.7	6.21	0	-0.407	0	0	0	0	5.15490196	0	338	0	0	0	0	2.722881794	0	3.261659005	5.513674708	0	0	82.8019
Kvon2014_chr3R_2580559_2581657	on	ACP	Ectoderm/Endoderm	on	on	on	on	on	off	4326	29.01	6.07	2.615	2.8835	2.313	2.8835	6	11.397940008	0	267	2.9831118583	3.8613057137	3.3489046097	4.9935531617	4.0055732727	3.591418206	5.490766823	11.45184047	497.765	1	81.9798
Kvon2014_chr3R_25828585_25830778	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	0	3.7	0	0	-1.892	0	-1.892	0	0	694	0	0	0	0	0	0.7224407196	0	1.873918904	3.276609527	0	0	81.9798
Kvon2014_chr3R_25864610_25865806	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	0	13.19	0	0	0	0	0	0	0	782	0	0	0	0	0	0	2.190496333	4.653874229	8.921329134	0	0	0
Kvon2014_chr3R_25889186_25891462	on	A	Endoderm	on	off	off	off	on	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.058746709	1.544967635	0	0	0
Kvon2014_chr3R_2629821_2631916	on	A	Ectoderm/Endoderm	on	off	off	on	on	off	605.8	5.75	0	0	0	0	0	6	0	0	0	2.6185593605	0	0	2.0589346886	3.5088484287	0.653840065	2.111214817	4.034357816	402.925	0	41.9076
Kvon2014_chr3R_26594672_26596745	on	ACP	Mesoderm	on	on	on	off	off	on	233.4	3.73	0	-0.675	0	0	0	5.7	6	0	0	0	0	0	0	0	0	3.875188828	4.619788134	0	0	690.3169
Kvon2014_chr3R_26680055_26682153	on	A	Ectoderm/Endoderm	on	off	off	on	on	off	690.4	7.64	4.05	1.693	1.274	1.753	1.274	6	1.776504059	0	0	4.3503880501	0	2.8635406494	2.2212619782	2.1147880554	2.576877874	7.118537229	11.61633923	173.585	0	26.017
Kvon2014_chr3R_2679309_2681544	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	0	4.58	0	0	0	0	0	0	5.397940009	0	0	0	1.8274364471	0	0	0	0	1.055006597	1.896896708	403.055	0	44.6554
Kvon2014_chr3R_2680992_2683269	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	429.1	24.09	11.89	0	0	0	0	5.7	5.22184875	0	0	0.7215528488	3.4730556011	3.5667574406	5.9127662182	3.1807017326	0.701069832	3.603862998	6.141109583	150.08	0	0
Kvon2014_chr3R_2684413_2686617	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	1685.3	27.61	5.22	0	0	0	0	5.7	4.468521083	0	219	0	3.4730556011	3.5667574406	0	3.1807017326	0	3.603862998	5.440039751	0	0	145.8158
Kvon2014_chr3R_2693633_2695762	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	1363.8	18.46	6.54	1.41	1.1695	1.844	1.1695	5.05	6	0	0	2.2621631622	2.963956356	3.3129472733	2.7318363189	2.2015056611	0	2.676183841	4.419129007	0	1	40.4012
Kvon2014_chr3R_2958220_2960027	on	A	Ectoderm	on	off	off	on	off	off	0	0	0	0	0	0	0	2.18	0	0	0	0	0	0	0	0	0	0	0.413989438	0	0	0
Kvon2014_chr3R_4513181_4515317	on	A	Endoderm	on	off	off	off	on	off	95.5	3.68	0	0.825	-0.588	0.432	-0.588	3.74	11.15490196	0	0	1.8546051979	0	2.0842990875	2.5362825394	2.0258703232	0	3.623288811	4.584650107	0	1	126.2188
Kvon2014_chr3R_4969149_4971389	on	A	Mesoderm	on	off	off	off	off	on	0	0	0	0	0	0	0	1.94	10.045757491	0	0	0	0	0	0	0.9797239304	0	2.849748221	3.2580017	0	0	128.836
Kvon2014_chr3R_5137468_5139658	on	AC	Mesoderm	on	on	off	off	off	on	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4357252121	0	0	1.389450401	1.389450401	0	0	0
Kvon2014_chr3R_6365463_6367614	on	AP	Ectoderm	on	off	on	on	off	off	297.5	0	0	0	0	0	0	2.96	0	0	0	0	0	0	0	1.0751204491	0	0	0.342715179	0	0	12.7216
Kvon2014_chr3R_6418595_6420751	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	156.7	4.03	0	0.166	0.3465	0	0.3465	6	5.698970004	0	370	0	1.6264634132	1.567864418	0.8182115555	0	0.642930269	4.227974475	7.187065482	0	0	122.3602
Kvon2014_chr3R_6422000_6424236	on	P	Endoderm	off	off	on	off	on	off	923.9	29.16	0	0.646	-0.1915	-0.69	-0.1915	6	4.657577319	725	356	0	3.1060128212	1.7273874283	0	0	0	5.54065451	7.856815248	242.045	0	6.16306
Kvon2014_chr3R_6425535_6427699	on	AC	Ectoderm/Endoderm/Mesoderm	on	on	off	on	on	on	2036	14.58	3.27	0.572	1.8525	0.584	1.8525	6	6	725	356	0.8223495483	2.5967981815	2.1598701477	2.9896202087	0.7593021393	2.418650269	5.54065451	10.275465517	487.005	0	106.4827
Kvon2014_chr3R_6427346_6429468	on	A	Endoderm	on	off	off	off	on	off	77.2	3.7	0	0	0.5985	0	0.5985	6	6	725	673	1.503297329	0	0	2.3087453842	0	0.568200384	5.54065451	8.425015632	213.715	0	800.915
Kvon2014_chr3R_6443064_6445159	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	4320.8	15.43	0	0.613	1.6045	1.924	1.6045	6	6	296	373	2.5719466209	2.8361639977	2.3395709991	2.9669451714	3.0644860267	2.93180421	4.572050458	10.531812703	374.78	1	126.4413
Kvon2014_chr3R_736192_738402	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	665.4	6.37	0	0	0	0	0	6	2.278434501	0	178	0	0	0	0	3.1161723137	2.705535561	1.982050001	6.77990511	0	1	119.2899
Kvon2014_chr3R_7394967_7398026	on	A	Ectoderm/Endoderm/Mesoderm	on	off	off	on	on	on	1119.5	4.04	0	1.151	0.7775	1.552	0.7775	6	4.187086643	0	0	2.6776461602	0	1.7678413391	0.8233795166	0	0	2.454310282	4.672064797	0	0	40.4012
Kvon2014_chr3R_8470129_8471868	on	ACP	Ectoderm	on	on	on	on	off	off	3419.3	19.58	4.12	1.618	2.2625	1.263	2.2625	6	5.522878745	616	449	2.5029716491	3.1376342773	3.0332927704	4.6569533348	4.1804709435	0	5.920025005	8.146668059	0	0	95.40552
Kvon2014_chr3R_8471285_8473828	on	AC	Ectoderm/Endoderm/Mesoderm	on	on	off	on	on	on	7219.6	19.58	7.53	1.259	2.343	1.263	2.343	11.4	11.522878745	616	449	3.1383004188	3.1376342773	3.0332927704	5.3105897903	5.7528934479	0	5.920025005	8.146668059	0	0	389.1121
Kvon2014_chr3R_8473805_8476580	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	2792.9	19.58	3.41	-0.312	0.0805	0	0.0805	11.1	12	616	449	0.6353287697	3.1376342773	2.0337724686	0.6536364555	3.5146832466	0	5.920025005	8.146668059	0	0	360.573
Kvon2014_chr3R_9705174_9707299	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	980	7.86	4.29	1.734	0.1615	2.186	0.1615	6	5.096910013	0	0	4.1405315399	0	2.6483821869	0	2.6922798157	0.605025679	3.85637331	6.985872358	124.605	0	115.19656
Kvon2014_chr3R_9735416_9737658	on	A	Ectoderm	on	off	off	on	off	off	937.7	7.23	0	1.786	0.605	1.738	0.605	12	9.463441558	0	0	1.9210100174	0	2.6265354156	1.9060792923	0.9312934875	1.697093561	3.439183044	6.624226485	150.455	0	58.6702
Kvon2014_chr3R_9737272_9739395	on	A	Ectoderm/Endoderm/Mesoderm	on	off	off	on	on	on	614.4	7.23	0	1.299	0.3755	1.738	0.3755	6	4.065501549	0	0	1.9210100174	0	2.6265354156	1.9060792923	0.9312934875	0.874985504	3.439183044	5.802118428	150.455	0	25.3201
Kvon2014_chr4_1013286_1015477	on	A	Ectoderm	on	off	off	on	off	off	258	0	0	0	0	0	0	0	0	0	219	0	0	0	0.5826778412	0	0	0	1.277868363	81.99	0	0
Kvon2014_chr4_79425_81608	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	1069.8	0	0	0	0.8725	0	0.8725	6	7.082452481	365	189	0	3.5793371201	0	3.1774539948	0	0	3.3001413	5.328487552	353.57	1	0
Kvon2014_chrX_10141141_10143288	on	ACP	Mesoderm	on	on	on	off	off	on	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.531973332	1.170209473	0	0	0
Kvon2014_chrX_14636760_14638874	on	ACP	Mesoderm	on	on	on	off	off	on	520.6	0	0	0	0	0	0	6	5.698970004	0	197	0	0	0	1.1539998055	0	0	2.825203955	3.981708288	0	0	353.668
Kvon2014_chrX_14920528_14922665	on	ACP	Endoderm/Mesoderm	on	on	on	off	on	on	0	0	0	0	0	0	0	5.4	9.012333735	0	0	0	0	0	0	0	0	4.171356708	4.992327296	0	1	177.908
Kvon2014_chrX_16045717_16047944	on	A	Ectoderm/Endoderm	on	off	off	on	on	off	0	0	0	0	0	0	0	3.98	0	0	255	0	0	0	0	0	0	1.604058951	5.282197237	0	0	0
Kvon2014_chrX_16113737_16115852	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	2235.7	15.86	6.03	2.138	0	0	0	6	6	0	228	0	3.04845047	3.7098698616	0.6422967911	2.3856754303	0.875609636	1.990513802	4.842922151	91.665	0	48.7865
Kvon2014_chrX_18029558_18031730	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0.849679216	2.121027901	0	1	0
Kvon2014_chrX_18197231_18199428	on	A	Ectoderm/Endoderm	on	off	off	on	on	off	3103.4	22.09	5.01	0	0	1.869	0	6	6	0	311	5.0378160477	3.3110532761	2.3413133621	3.4141511917	2.6753296852	2.640467077	2.015790224	8.317236095	251.645	1	48.6419
Kvon2014_chrX_19636808_19638944	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	197.9	0	0	0	0	0	0	0	0	607	0	0	0	0	0	1.224003315	0	0.583955884	1.739538252	0	1	92.7094
Kvon2014_chrX_19742852_19745084	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	145.3	12.32	0	0.275	-0.4715	0	-0.4715	0.81	8.806875402	392	182	0	0	0	0	2.5069556236	0	1.169829845	3.830440589	0	1	104.547
Kvon2014_chrX_19783001_19785201	on	A	Ectoderm	on	off	off	on	off	off	246	0	0	-1.29	-0.6815	0	-0.6815	10.29	6.440894507	0	247	0	0	0	0	0.9832549095	0	2.197661195	3.607725892	0	0	109.9888
Kvon2014_chrX_20320724_20322995	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	0	0	0	0	0	0	0	0.72	0	0	0	0	0	0	0	1.2008743286	0	1.681813383	1.681813383	0	0	0
Kvon2014_chrX_20522999_20525109	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	435.9	10.48	7.46	0.547	2.5535	0	2.5535	1.08	0	0	0	0	3.1981086731	3.8893637657	2.8605656624	0	0	1.520535469	2.430270016	0	0	6.16306
Kvon2014_chrX_20582460_20584635	on	AP	Ectoderm	on	off	on	on	off	off	1219.7	10.72	0	0.29	1.2025	0	1.2025	6	0.754650223	0	0	0	1.6677222252	0	2.3949594497	0.8047995567	0.964011997	0.57625664	2.560395485	172.88	0	0
Kvon2014_chrX_2322950_2325468	on	AP	Ectoderm/Mesoderm	on	off	on	on	off	on	3915.8	32.7	5.01	1.72	3.0825	1.32	3.0825	12	8.22184875	0	235	2.68227911	3.85602808	3.6068725586	7.4506683349	2.9443955421	0.626852916	2.735381452	5.907520487	267.14	1	77.5599
Kvon2014_chrX_2324883_2326982	on	P	Ectoderm/Mesoderm	off	off	on	on	off	on	1619	21.66	5.01	1.72	2.77	1.32	2.77	12	5.301029996	0	235	2.68227911	3.85602808	3.6068725586	7.4506683349	0.6907844543	0.626852916	2.735381452	5.907520487	113.75	1	77.5599
Kvon2014_chrX_2326425_2328548	on	A	Ectoderm	on	off	off	on	off	off	63.5	4.81	0	0.864	4.4905	1.256	4.4905	6	0	0	0	3.2866940499	0	2.863363266	11.1035900115	0	0.603818192	2.243278503	5.392382814	0	1	0
Kvon2014_chrX_2328024_2330141	on	A	Endoderm	on	off	off	off	on	off	133.3	4.81	0	0.864	1.7205	1.256	1.7205	6	5.301029996	0	0	3.2866940499	0	4.7707109451	3.6529216766	4.4788122177	0.603818192	2.243278503	5.392382814	0	1	70.3025
Kvon2014_chrX_2329552_2331768	on	A	Mesoderm	on	off	off	off	off	on	0	13.76	0	1.971	0	0	0	4.84	11.301029996	0	0	8.5740566254	0	8.0766563415	2.7569015026	4.4788122177	0	2.243278503	4.788564622	0	0	186.4677
Kvon2014_chrX_2331140_2333271	on	AC	Ectoderm/Mesoderm	on	on	off	on	off	on	650.5	8.95	6.75	1.272	0.7695	2.034	0.7695	7.82	6	0	0	5.2873625755	1.4615149498	3.3059453964	2.7569015026	4.4788122177	0	2.243278503	4.788564622	137.695	0	186.4677
Kvon2014_chrX_2334279_2336373	on	A	Ectoderm/Endoderm	on	off	off	on	on	off	63.5	0	0	0.644	0.78	0	0.78	1.92	0	0	0	0	0	1.9185647964	1.9288449287	4.4788122177	0	2.243278503	4.788564622	0	1	0
Kvon2014_chrX_273823_275941	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	372.4	8.93	0	1.296	2.323	0.859	2.323	11.7	0	0	0	2.5056447982	1.631919384	3.6532711982	3.767440319	3.4136381149	0	3.033832907	3.931530131	0	0	2.75585
Kvon2014_chrX_3032372_3034558	on	AC	Ectoderm/Endoderm/Mesoderm	on	on	off	on	on	on	1780.3	21.48	0	1.167	1.612	0	1.612	10.57	8.894489815	456	189	0	2.0163450241	4.0865867138	2.5712070465	1.8702368737	0.719676644	2.37651264	6.068435624	183.62	0	0
Kvon2014_chrX_3673654_3676071	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	111	15.01	0	-1.391	1.3025	0	1.3025	0	4.638272164	374	345	0	0	0	2.680560112	2.237200737	0	2.229477995	5.040397083	163.435	1	176.6976
Kvon2014_chrX_4092742_4094855	on	A	Ectoderm	on	off	off	on	off	off	1716.8	6.33	0	0	0	0	0	3.52	0	0	246	0	0	0	0	0	0.653742154	0.904920006	3.152345594	0	0	0
Kvon2014_chrX_4349845_4351967	on	A	Ectoderm	on	off	off	on	off	off	290.6	4.11	0	0.037	0	0.97	0	0	0	0	0	2.4333224297	0	0	0	0	0	0.547346857	1.473722807	0	0	0
Kvon2014_chrX_4505511_4507953	on	CP	Ectoderm	off	on	on	on	off	off	1021.7	8.44	0	0.807	-0.5795	0	-0.5795	2.03	0	0	0	0	2.102853775	2.1125566959	0	4.9254360199	0	0.821652234	2.793432959	0	0	0
Kvon2014_chrX_476757_478944	on	A	Endoderm/Mesoderm	on	off	off	off	on	on	308.3	7.98	3.79	1.247	1.46	1.18	1.46	6	0.63344444	0	0	2.0105030537	1.7905106544	2.4302349091	2.8563499451	1.0048112869	4.478419125	4.898140069	12.484103497	264.005	0	103.5576
Kvon2014_chrX_4833051_4835256	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	256.3	5.95	0	0	0	0	0	6	5.698970004	606	237	0	2.0248885155	2.2798023224	2.2501926422	2.9377851486	2.318097002	2.000994065	7.022676493	158.055	1	0
Kvon2014_chrX_485819_487844	on	ACP	Mesoderm	on	on	on	off	off	on	2382.1	10.05	3.78	0.629	0.0755	1.432	0.0755	6	6	0	286	3.4710812568	1.7364516258	2.208568573	1.8726758957	2.5656886101	6.910417389	4.101706561	14.119668253	478.045	0	580.224
Kvon2014_chrX_4935057_4937167	on	A	Ectoderm	on	off	off	on	off	off	80.7	0	0	1.041	-0.0665	0	-0.0665	6	0	0	0	0	0	1.8007760048	0	0	0	0	0.728907235	0	0	0
Kvon2014_chrX_8199179_8201387	on	CP	Ectoderm/Endoderm/Mesoderm	off	on	on	on	on	on	80.1	0	0	0	0	0	0	0	1.27750593	0	0	0	0	0	0	0	0	0	0.545971362	0	0	0
Kvon2014_chrX_8536076_8538179	on	A	Ectoderm	on	off	off	on	off	off	0	0	0	0	0	0	0	1.54	0	0	0	3.3220777512	0	2.0374212265	0	0	0	1.919481474	3.412165679	0	0	17.238
Kvon2014_chrX_8546539_8548888	on	A	Ectoderm	on	off	off	on	off	off	3237.3	15.86	5.01	1.219	2.162	1.768	2.162	6	5.522878745	0	244	3.7210998535	3.0885772705	2.8837380409	4.0987479687	6.3478355408	2.962868129	2.311612213	8.381557071	378.845	0	46.3879
Kvon2014_chrX_8548254_8550343	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	2360.3	15.86	5.01	1.219	1.7555	1.768	1.7555	6	5.522878745	0	244	3.7210998535	3.0885772705	2.8837380409	4.0987479687	6.3478355408	2.962868129	2.311612213	8.381557071	556.015	0	46.3879
Kvon2014_chrX_8567054_8569198	on	A	Ectoderm	on	off	off	on	off	off	69.8	2.97	0	0	0	0	0	0	2.261377972	0	268	0	0	0	0	0	0	1.20551607	3.614254776	0	0	0
Kvon2014_chrX_9125521_9126398	on	A	Ectoderm	on	off	off	on	off	off	0	0	0	0	0.2675	0	0.2675	0	0	0	0	0	0	0	0	0	0	0.813204317	1.194557639	0	1	0
Kvon2014_chrX_9608928_9611168	on	C	Ectoderm	off	on	off	on	off	off	70.9	0	0	0	0.6005	0	0.6005	0.47	0	0	0	0	0	0	0	0	0	1.170630336	1.170630336	0	0	0
Kvon2014_chrX_9610773_9612895	on	C	Ectoderm	off	on	off	on	off	off	70.9	0	0	0	0.6005	0	0.6005	0.47	0	0	0	0	0	0	0	0	0	0.872586886	0.872586886	0	0	0
Kvon2014_chrX_9630797_9632904	on	A	Endoderm	on	off	off	off	on	off	104.1	0	0	0.197	0.6745	0.08	0.6745	0	0.452022343	0	0	0.7449812889	0	0	1.5059485435	0	0	1.055392534	1.489466809	0	0	26.017
